age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,2,3,2,2,1,2,1,9,3,261,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,7,3,5,1,1,2,1,9,3,149,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,7,3,5,2,2,2,1,9,3,226,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,10,3,1,2,1,2,1,9,3,151,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,7,3,5,2,1,1,1,9,3,307,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,7,3,4,1,1,2,1,9,3,198,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
59,10,3,3,2,1,2,1,9,3,139,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,9,3,6,1,1,2,1,9,3,217,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
24,8,2,3,2,2,2,1,9,3,380,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
25,7,2,5,2,2,2,1,9,3,50,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,9,3,6,1,1,2,1,9,3,55,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
25,7,2,5,2,2,2,1,9,3,222,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
29,9,2,5,2,1,1,1,9,3,137,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,2,1,2,2,2,2,1,9,3,293,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,9,3,1,2,2,2,1,9,3,146,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,5,3,4,1,2,1,1,9,3,174,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,9,3,1,2,2,2,1,9,3,312,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
46,9,3,1,1,2,1,1,9,3,440,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
50,9,3,4,2,2,1,1,9,3,353,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,6,2,4,1,1,2,1,9,3,195,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
30,1,3,5,2,1,2,1,9,3,38,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,9,3,2,1,2,2,1,9,3,262,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,5,2,5,2,2,2,1,9,3,342,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,8,2,5,2,2,2,1,9,3,181,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
37,10,3,5,2,2,2,1,9,3,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,8,3,6,2,1,1,1,9,3,99,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
59,8,3,6,2,2,2,1,9,3,93,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,3,3,4,1,1,2,1,9,3,233,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,8,2,6,1,1,2,1,9,3,255,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,10,3,6,1,0,0,1,9,3,362,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
46,10,3,6,2,1,2,1,9,3,348,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
59,8,3,6,2,2,2,1,9,3,386,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
49,9,3,6,2,1,2,1,9,3,73,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,6,3,2,1,2,2,1,9,3,230,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,9,1,2,2,1,2,1,9,3,208,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
55,10,3,2,1,2,2,1,9,3,336,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
34,7,3,5,2,1,2,1,9,3,365,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
52,8,3,4,2,2,2,1,9,3,1666,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
41,10,3,6,2,2,2,1,9,3,577,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
56,8,3,2,2,2,2,1,9,3,137,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
58,6,0,6,2,2,2,1,9,3,366,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
32,4,3,5,2,2,2,1,9,3,314,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
38,10,2,3,2,1,2,1,9,3,160,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,10,3,6,2,1,1,1,9,3,212,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
44,10,3,6,1,2,2,1,9,3,188,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
42,8,2,3,1,1,2,1,9,3,22,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
57,10,3,6,2,2,1,1,9,3,616,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
40,9,3,4,2,1,1,1,9,3,178,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
35,10,3,6,2,2,2,1,9,3,355,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
45,9,3,4,2,2,2,1,9,3,225,2,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
54,10,3,5,2,1,2,1,9,3,160,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
39,2,3,2,2,1,1,1,9,3,266,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
60,10,3,5,2,1,2,1,9,3,253,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
53,10,2,3,2,1,2,1,9,3,179,1,999,0,2,1.1,93.994,-36.4,4.857,5191.0,0
